TrackID,Line,Section,Block Number,Block Length (m),Block Grade (%),Speed Limit (Km/Hr),Infrastructure,Primary Next Track,Secondary Next Track,Primary Prev Track,Secondary Prev Track,BiDirectional,Station ID,Station Name,StationSide,Underground,First Track,Last Track,ELEVATION (M),CUMALTIVE ELEVATION (M)
1001,Red,A,1,50,0.5,40,,1002,,1015,,1,,,,0,0,0,0.25,0.25
1002,Red,A,2,50,1,40,,1003,,1001,,1,,,,0,0,0,0.50,0.75
1003,Red,A,3,50,1.5,40,,1004,,1002,,1,,,,0,0,0,0.75,1.50
1004,Red,B,4,50,2,40,,1005,,1003,,1,,,,0,0,0,1.00,2.50
1005,Red,B,5,50,1.5,40,,1006,,1004,,1,,,,0,0,0,0.75,3.25
1006,Red,B,6,50,1,40,,1007,,1005,,1,,,,0,0,0,0.50,3.75
1007,Red,C,7,75,0.5,40,STATION: SHADYSIDE,1008,,1006,,1,1,Shadyside,L,0,0,0,0.38,4.13
1008,Red,C,8,75,0,40,,1009,,1007,,1,,,,0,0,0,0.00,4.13
1009,Red,C,9,75,0,40,SWITCH TO/FROM YARD,1010,-1,1008,,1,,,,0,1,1,0.00,4.13
1010,Red,D,10,75,0,40,,1011,,1009,,1,,,,0,0,0,0.00,4.13
1011,Red,D,11,75,-0.5,40,,1012,,1010,,1,,,,0,0,0,-0.38,3.75
1012,Red,D,12,75,-1,40,,1013,,1011,,1,,,,0,0,0,-0.75,3.00
1013,Red,E,13,70,-2,40,,1014,,1012,,1,,,,0,0,0,-1.40,1.60
1014,Red,E,14,60,-1.25,40,,1015,,1013,,1,,,,0,0,0,-0.75,0.85
1015,Red,E,15,60,-1,40,SWITCH,1016,,1014,1001,1,,,,0,0,0,-0.60,0.25
1016,Red,F,16,50,-0.5,40,STATION: HERRON AVE,1017,,1015,,1,2,Herron Ave,R,0,0,0,-0.25,0.00
1017,Red,F,17,200,-0.5,55,,1018,,1016,,1,,,,0,0,0,-1.00,-1.00
1018,Red,F,18,400,-0.06025,70,,1019,,1017,,1,,,,0,0,0,-0.24,-1.24
1019,Red,F,19,400,0,70,,1020,,1018,,1,,,,0,0,0,0.00,-1.24
1020,Red,F,20,200,0,70,,1021,,1019,,1,,,,0,0,0,0.00,-1.24
1021,Red,G,21,100,0,55,STATION; SWISSVILLE,1022,,1020,,1,3,Swissville,R,0,0,0,0.00,-1.24
1022,Red,G,22,100,0,55,,1023,,1021,,1,,,,0,0,0,0.00,-1.24
1023,Red,G,23,100,0,55,,1024,,1022,,1,,,,0,0,0,0.00,-1.24
1024,Red,H,24,50,0,70,UNDERGROUND,1025,,1023,,1,,,,1,0,0,0.00,-1.24
1025,Red,H,25,50,0,70,STATION;    PENN STATION; UNDERGROUND,1026,,1024,,1,4,Penn Station,L,1,0,0,0.00,-1.24
1026,Red,H,26,50,0,70,UNDERGROUND,1027,,1025,,1,,,,1,0,0,0.00,-1.24
1027,Red,H,27,50,0,70,SWITCH; UNDERGROUND,1028,1076,1026,,1,,,,1,0,0,0.00,-1.24
1028,Red,H,28,50,0,70,UNDERGROUND,1029,,1027,,1,,,,1,0,0,0.00,-1.24
1029,Red,H,29,60,0,70,UNDERGROUND,1030,,1028,,1,,,,1,0,0,0.00,-1.24
1030,Red,H,30,60,0,70,UNDERGROUND,1031,,1029,,1,,,,1,0,0,0.00,-1.24
1031,Red,H,31,50,0,70,UNDERGROUND,1032,,1030,,1,,,,1,0,0,0.00,-1.24
1032,Red,H,32,50,0,70,SWITCH; UNDERGROUND,1033,,1031,1072,1,,,,1,0,0,0.00,-1.24
1033,Red,H,33,50,0,70,UNDERGROUND,1034,,1032,,1,,,,1,0,0,0.00,-1.24
1034,Red,H,34,50,0,70,UNDERGROUND,1035,,1033,,1,,,,1,0,0,0.00,-1.24
1035,Red,H,35,50,0,70,STATION;     STEEL PLAZA; UNDERGROUND,1036,,1034,,1,5,Steel Plaza,L,1,0,0,0.00,-1.24
1036,Red,H,36,50,0,70,UNDERGROUND,1037,,1035,,1,,,,1,0,0,0.00,-1.24
1037,Red,H,37,50,0,70,UNDERGROUND,1038,,1036,,1,,,,1,0,0,0.00,-1.24
1038,Red,H,38,50,0,70,SWITCH; UNDERGROUND,1039,1071,1037,,1,,,,1,0,0,0.00,-1.24
1039,Red,H,39,50,0,70,UNDERGROUND,1040,,1038,,1,,,,1,0,0,0.00,-1.24
1040,Red,H,40,60,0,70,UNDERGROUND,1041,,1039,,1,,,,1,0,0,0.00,-1.24
1041,Red,H,41,60,0,70,UNDERGROUND,1042,,1040,,1,,,,1,0,0,0.00,-1.24
1042,Red,H,42,50,0,70,UNDERGROUND,1043,,1041,,1,,,,1,0,0,0.00,-1.24
1043,Red,H,43,50,0,70,SWITCH; UNDERGROUND,1044,,1042,1067,1,,,,1,0,0,0.00,-1.24
